Approved Symbol	Phenotypes
ALDOA	Glycogen storage disease XII, Autosomal recessive
TBX6	Spondylocostal dysostosis 5, Autosomal recessive, Autosomal dominant
CORO1A	Immunodeficiency 8, Autosomal recessive
SRCAP	Floating-Harbor syndrome, Autosomal dominant
PHKG2	Cirrhosis due to liver phosphorylase kinase deficiency (3);Glycogen storage disease IXc, Autosomal recessive
HSD3B7	Bile acid synthesis defect, congenital, 1, Autosomal recessive
STX1B	Generalized epilepsy with febrile seizures plus, type 9, Autosomal dominant
VKORC1	Vitamin K-dependent clotting factors, combined deficiency of, 2;Warfarin resistance, Autosomal dominant
BCKDK	Branched-chain ketoacid dehydrogenase kinase deficiency
FUS	Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia;Tremor, hereditary essential, 4, Autosomal dominant
ARMC5	ACTH-independent macronodular adrenal hyperplasia 2, Autosomal dominant, Somatic mutation
SLC5A2	Renal glucosuria, Autosomal recessive, Autosomal dominant
ORC6	Meier-Gorlin syndrome 3, Autosomal recessive
GPT2	Mental retardation, autosomal recessive 49, Autosomal recessive
HYD2	Tooth agenesis, selective, 2
PHKB	Phosphorylase kinase deficiency of liver and muscle, autosomal recessive, Autosomal recessive
ZNF423	Joubert syndrome 19, Autosomal recessive, Autosomal dominant;Nephronophthisis 14, Autosomal recessive, Autosomal dominant
NOD2	Blau syndrome, Autosomal dominant
CYLD	Brooke-Spiegler syndrome, Autosomal dominant;Cylindromatosis, familial, Autosomal dominant;Trichoepithelioma, multiple familial, 1, Autosomal dominant
SALL1	Townes-Brocks branchiootorenal-like syndrome, Autosomal dominant;Townes-Brocks syndrome, Autosomal dominant
RPGRIP1L	COACH syndrome, Autosomal recessive;Joubert syndrome 7, Autosomal recessive;Meckel syndrome 5, Autosomal recessive
FTO	Growth retardation, developmental delay, facial dysmorphism, Autosomal recessive
IRX5	Hamamy syndrome, Autosomal recessive
MMP2	Multicentric osteolysis, nodulosis, and arthropathy, Autosomal recessive
SLC6A2	Orthostatic intolerance
CES1	Carboxylesterase 1 deficiency (3)
GNAO1	Epileptic encephalopathy, early infantile, 17, Autosomal dominant
BBS2	Bardet-Biedl syndrome 2, Autosomal recessive;Retinitis pigmentosa 74, Autosomal recessive
NUP93	Nephrotic syndrome, type 12, Autosomal recessive
SLC12A3	Gitelman syndrome, Autosomal recessive
CETP	Hyperalphalipoproteinemia, Autosomal dominant
RSPRY1	Spondylopeimetaphyseal dsyplasia, Faden-Alkuraya type, Autosomal recessive
ARL2BP	Retinitis pigmentosa with or without situs inversus, Autosomal recessive
OPA8	Optic atroph 8, Autosomal dominant
COQ9	Coenzyme Q10 deficiency, primary, 5, Autosomal recessive
ADGRG1	Polymicrogyria, bilateral frontoparietal, Autosomal recessive;Polymicrogyria, bilateral perisylvian
KATNB1	Lissencephaly 6, with microcephaly, Autosomal recessive
CNGB1	Retinitis pigmentosa 45, Autosomal recessive
USB1	Poikiloderma with neutropenia, Autosomal recessive
BEAN1	Spinocerebellar ataxia 31, Autosomal dominant
TK2	Mitochondrial DNA depletion syndrome 2 (myopathic type), Autosomal recessive
CBFB	Myeloid leukemia, acute, M4/M4Eo subtype, somatic
HSF4	Cataract 5, multiple types, Autosomal dominant
NOL3	Myoclonus, familial cortical, Autosomal dominant
HSD11B2	Apparent mineralocorticoid excess, Autosomal recessive
CTCF	Mental retardation, autosomal dominant 21, Autosomal dominant
LCAT	Fish-eye disease, Autosomal recessive;Norum disease, Autosomal recessive
PRMT7	Short stature, brachydactyly, intellectual developmental disability, and seizures, Autosomal recessive
CDH3	Ectodermal dysplasia, ectrodactyly, and macular dystrophy, Autosomal recessive;Hypotrichosis, congenital, with juvenile macular dystrophy, Autosomal recessive
CDH1	Endometrial carcinoma, somatic;Gastric cancer, familial diffuse, with or without cleft lip and/or palate, Autosomal dominant;Ovarian carcinoma, somatic
COG8	Congenital disorder of glycosylation, type IIh
AARS	Charcot-Marie-Tooth disease, axonal, type 2N, Autosomal dominant;Epileptic encephalopathy, early infantile, 29, Autosomal recessive
COG4	Congenital disorder of glycosylation, type IIj, Autosomal recessive
VAC14	Striatonigral degeneration, childhood-onset, Autosomal recessive
HYDIN	Ciliary dyskinesia, primary, 5, Autosomal recessive
TAT	Tyrosinemia, type II, Autosomal recessive
DHODH	Miller syndrome, Autosomal recessive
FA2H	Spastic paraplegia 35, autosomal recessive, Autosomal recessive
CHST6	Macular corneal dystrophy, Autosomal recessive
TMEM231	Joubert syndrome 20, Autosomal recessive;Meckel syndrome 11, Autosomal recessive
KARS	Deafness, autosomal recessive 89, Autosomal recessive
ADAMTS18	Microcornea, myopic chorioretinal atrophy, and telecanthus, Autosomal recessive
WWOX	Epileptic encephalopathy, early infantile, 28, Autosomal recessive;Esophageal squamous cell carcinoma, somatic;Spinocrebellar ataxia, autosomal recessive 12, Autosomal recessive
MAF	Ayme-Gripp syndrome, Autosomal dominant;Cataract 21, multiple types, Autosomal dominant
GCSH	Glycine encephalopathy, Autosomal recessive
BCO1	Hypercarotenemia and vitamin A deficiency, autosomal dominant, Autosomal dominant
GAN	Giant axonal neuropathy-1, Autosomal recessive
PLCG2	Autoinflammation, antibody deficiency, and immune dysregulation syndrome, Autosomal dominant;Familial cold autoinflammatory syndrome 3, Autosomal dominant
MLYCD	Malonyl-CoA decarboxylase deficiency, Autosomal recessive
SLC38A8	Foveal hypoplasia 2, with or without optic nerve misrouting and/or anterior segment dysgenesis, Autosomal recessive
DNAAF1	Ciliary dyskinesia, primary, 13, Autosomal recessive
IRF8	Immunodeficiency 32A, mycobacteriosis, autosomal dominant, Autosomal dominant;Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive, Autosomal recessive
FOXF1	Alveolar capillary dysplasia with misalignment of pulmonary veins, Autosomal dominant
FOXC2	Lymphedema-distichiasis syndrome, Autosomal dominant;Lymphedema-distichiasis syndrome with renal disease and diabetes mellitus, Autosomal dominant
JPH3	Huntington disease-like 2, Autosomal dominant
CA5A	Hyperammonemia due to carbonic anhydrase VA deficiency, Autosomal recessive
ZNF469	Brittle cornea syndrome 1, Autosomal recessive
CYBA	Chronic granulomatous disease, autosomal, due to deficiency of CYBA, Autosomal recessive
MVD	Porokeratosis 7, multiple types, Autosomal dominant
PIEZO1	Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema, Autosomal dominant;Lymphedema, hereditary, III, Autosomal recessive
CDT1	Meier-Gorlin syndrome 4, Autosomal recessive
APRT	Adenine phosphoribosyltransferase deficiency, Autosomal recessive
GALNS	Mucopolysaccharidosis IVA, Autosomal recessive
ACSF3	Combined malonic and methylmalonic aciduria
CDH15	Mental retardation, autosomal dominant 3
ANKRD11	KBG syndrome, Autosomal dominant
SPG7	Spastic paraplegia 7, autosomal recessive, Autosomal recessive, Autosomal dominant
CHMP1A	Pontocerebellar hypoplasia, type 8, Autosomal recessive
FANCA	Fanconi anemia, complementation group A, Autosomal recessive
TUBB3	Cortical dysplasia, complex, with other brain malformations 1, Autosomal dominant;Fibrosis of extraocular muscles, congenital, 3A, Autosomal dominant
GAS8	Ciliary dyskinesia, primary, 33, Autosomal recessive
CACD	Choroidal dystrophy, central areolar 1, Autosomal recessive
CTAA2	Cataract 24, anterior polar, Autosomal dominant
VPS53	Pontocerebellar hypoplasia, type 2E, Autosomal recessive
BHLHA9	Syndactyly, mesoaxial synostotic, with phalangeal reduction, Autosomal recessive
PRPF8	Retinitis pigmentosa 13, Autosomal dominant
WDR81	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2, Autosomal recessive
SERPINF2	Alpha-2-plasmin inhibitor deficiency, Autosomal recessive
SERPINF1	Osteogenesis imperfecta, type VI
DPH1	Developmental delay with short stature, dysmorphic features, and sparse hair, Autosomal recessive
PAFAH1B1	Lissencephaly 1, Isolated cases;Subcortical laminar heterotopia, Isolated cases
ASPA	Canavan disease, Autosomal recessive
TRPV3	Olmsted syndrome, Autosomal dominant
CTNS	Cystinosis, atypical nephropathic, Autosomal recessive;Cystinosis, late-onset juvenile or adolescent nephropathic, Autosomal recessive;Cystinosis, nephropathic, Autosomal recessive;Cystinosis, ocular nonnephropathic, Autosomal recessive
P2RX1	Bleeding disorder due to P2RX1 defect, somatic
CHRNE	Myasthenic syndrome, congenital, 4A, slow-channel, Autosomal recessive, Autosomal dominant;Myasthenic syndrome, congenital, 4B, fast-channel, Autosomal recessive;Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, Autosomal recessive
GP1BA	Bernard-Soulier syndrome, type A1 (recessive), Autosomal recessive;Bernard-Soulier syndrome, type A2 (dominant), Autosomal dominant;von Willebrand disease, platelet-type, Autosomal dominant
PFN1	Amyotrophic lateral sclerosis 18
KIF1C	Spastic ataxia 2, autosomal recessive, Autosomal recessive
SLC52A1	Riboflavin deficiency, Autosomal dominant
NLRP1	Autoinflammation with arthritis and dyskeratosis, Autosomal recessive, Autosomal dominant;Palmoplantar carcinoma, multiple self-healing
AIPL1	Cone-rod dystrophy, Autosomal recessive;Leber congenital amaurosis 4, Autosomal recessive;Retinitis pigmentosa, juvenile, Autosomal recessive
PITPNM3	Cone-rod dystrophy 5, Autosomal dominant
SLC13A5	Epileptic encephalopathy, early infantile, 25, Autosomal recessive
ACADVL	VLCAD deficiency, Autosomal recessive
CHRNB1	Myasthenic syndrome, congenital, 2A, slow-channel, Autosomal dominant
MPDU1	Congenital disorder of glycosylation, type If, Autosomal recessive
TP53	Adrenal cortical carcinoma, Autosomal recessive;Breast cancer, Autosomal dominant;Choroid plexus papilloma, Autosomal dominant;Colorectal cancer, Autosomal dominant;Hepatocellular carcinoma, Somatic mutation;Li-Fraumeni syndrome, Autosomal dominant;Nasopharyngeal carcinoma;Osteosarcoma, Autosomal recessive;Pancreatic cancer, Autosomal dominant, Somatic mutation, Multifactorial
WRAP53	Dyskeratosis congenita, autosomal recessive 3, Autosomal recessive
GUCY2D	Cone-rod dystrophy 6, Autosomal dominant;Leber congenital amaurosis 1, Autosomal recessive
ALOX12B	Ichthyosis, congenital, autosomal recessive 2, Autosomal recessive
ALOXE3	Ichthyosis, congenital, autosomal recessive 3, Autosomal recessive
HES7	Spondylocostal dysostosis 4, autosomal recessive, Autosomal recessive
SNORD118	Leukoencephalopathy, brain calcifications, and cysts, Autosomal recessive
CTC1	Cerebroretinal microangiopathy with calcifications and cysts, Autosomal recessive
PIK3R5	Ataxia-oculomotor apraxia 3, Autosomal recessive
MYH8	Carney complex variant;Trismus-pseudocamptodactyly syndrome, Autosomal dominant
MYH2	Proximal myopathy and ophthalmoplegia, Autosomal recessive, Autosomal dominant
MYH3	Arthrogryposis, distal, type 2A, Autosomal dominant;Arthrogryposis, distal, type 2B, Autosomal dominant;Arthrogryposis, distal, type 8, Autosomal dominant
SCO1	Mitochondrial complex IV deficiency, Autosomal recessive, Mitochondrial
DFNB85	Deafness, autosomal recessive 85, Autosomal recessive
ELAC2	Combined oxidative phosphorylation deficiency 17, Autosomal recessive
COX10	Leigh syndrome due to mitochondrial COX4 deficiency, Autosomal recessive, Mitochondrial;Mitochondrial complex IV deficiency, Autosomal recessive, Mitochondrial
PMP22	Charcot-Marie-Tooth disease, type 1A, Autosomal dominant;Charcot-Marie-Tooth disease, type 1E, Autosomal dominant;Dejerine-Sottas disease, Autosomal recessive, Autosomal dominant;Neuropathy, recurrent, with pressure palsies, Autosomal dominant;Roussy-Levy syndrome, Autosomal dominant
TTC19	Mitochondrial complex III deficiency, nuclear type 2, Autosomal recessive
PIGL	CHIME syndrome, Autosomal recessive
UBB	Cleft palate, isolated, Autosomal dominant
TNFRSF13B	Immunodeficiency, common variable, 2, Autosomal recessive, Autosomal dominant;Immunoglobulin A deficiency 2
FLCN	Birt-Hogg-Dube syndrome, Autosomal dominant;Colorectal cancer, somatic;Pneumothorax, primary spontaneous, Autosomal dominant;Renal carcinoma, chromophobe, somatic
RAI1	Smith-Magenis syndrome, Autosomal dominant, Isolated cases
ATPAF2	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, Autosomal recessive
MYO15A	Deafness, autosomal recessive 3, Autosomal recessive
B9D1	Joubert syndrome 27, Autosomal recessive
ALDH3A2	Sjogren-Larsson syndrome, Autosomal recessive
TMEM199	Congenital disorder of glycosylation, type IIp, Autosomal recessive
SLC46A1	Folate malabsorption, hereditary, Autosomal recessive
FOXN1	T-cell immunodeficiency, congenital alopecia, and nail dystrophy, Autosomal recessive
CRYBA1	Cataract 10, multiple types, Autosomal dominant
RNF135	Macrocephaly, macrosomia, facial dysmorphism syndrome
NF1	Leukemia, juvenile myelomonocytic, Autosomal dominant, Somatic mutation;Neurofibromatosis, familial spinal, Autosomal dominant;Neurofibromatosis, type 1, Autosomal dominant;Neurofibromatosis-Noonan syndrome, Autosomal dominant;Watson syndrome, Autosomal dominant
TMEM98	Nanophthalmos 4, Autosomal dominant
SLFN14	Bleeding disorder, platelet-type, 20, Autosomal dominant
PEX12	Peroxisome biogenesis disorder 3A (Zellweger), Autosomal recessive;Peroxisome biogenesis disorder 3B, Autosomal recessive
TAF15	Chondrosarcoma, extraskeletal myxoid
ACACA	Acetyl-CoA carboxylase deficiency, Autosomal recessive
HNF1B	Diabetes mellitus, noninsulin-dependent, Autosomal dominant;Renal cysts and diabetes syndrome, Autosomal dominant
GPR179	Night blindness, congenital stationary (complete), 1E, autosomal recessive, Autosomal recessive
TCAP	Cardiomyopathy, hypertrophic, 25, Autosomal dominant;Muscular dystrophy, limb-girdle, type 2G, Autosomal recessive
PGAP3	Hyperphosphatasia with mental retardation syndrome 4, Autosomal recessive
ERBB2	Adenocarcinoma of lung, somatic;Gastric cancer, somatic;Glioblastoma, somatic;Ovarian cancer, somatic (3)
MYP5	Myopia 5, Autosomal dominant
PTLAH	Patella aplasia or hypoplasia, Autosomal dominant
THRA	Hypothyroidism, congenital, nongoitrous, 6, Autosomal dominant
RARA	Leukemia, acute promyelocytic
TOP2A	DNA topoisomerase II, resistance to inhibition of, by amsacrine (3)
SMARCE1	Coffin-Siris syndrome 5, Autosomal dominant
KRT25	Woolly hair, autosomal recessive 3, Autosomal recessive
KRT10	Epidermolytic hyperkeratosis, Autosomal recessive, Autosomal dominant;Ichthyosis with confetti, Autosomal dominant;Ichthyosis, cyclic, with epidermolytic hyperkeratosis, Autosomal dominant
KRT12	Meesmann corneal dystrophy, Autosomal dominant
KRT13	White sponge nevus 2, Autosomal dominant
KRT9	Palmoplantar keratoderma, epidermolytic, Autosomal dominant
KRT14	Dermatopathia pigmentosa reticularis, Autosomal dominant;Epidermolysis bullosa simplex, Dowling-Meara type, Autosomal dominant;Epidermolysis bullosa simplex, Koebner type, Autosomal dominant;Epidermolysis bullosa simplex, Weber-Cockayne type, Autosomal dominant;Epidermolysis bullosa simplex, recessive 1, Autosomal recessive;Naegeli-Franceschetti-Jadassohn syndrome, Autosomal dominant
KRT16	Pachyonychia congenita 1, Autosomal dominant;Palmoplantar keratoderma, nonepidermolytic, focal, Autosomal dominant
KRT17	Pachyonychia congenita 2, Autosomal dominant;Steatocystoma multiplex, Autosomal dominant
JUP	Arrhythmogenic right ventricular dysplasia 12, Autosomal dominant;Naxos disease, Autosomal recessive
FKBP10	Bruck syndrome 1, Autosomal recessive;Osteogenesis imperfecta, type XI, Autosomal recessive
KLHL10	Spermatogenic failure 11, Autosomal dominant
TTC25	Ciliary dyskinesia, primary, 35, Autosomal recessive
STAT5B	Growth hormone insensitivity with immunodeficiency;Leukemia, acute promyelocytic, somatic
STAT3	Autoimmune disease, multisystem, infantile-onset, 1, Autosomal dominant;Hyper-IgE recurrent infection syndrome, Autosomal dominant
CAVIN1	Lipodystrophy, congenital generalized, type 4, Autosomal recessive
NAGLU	Mucopolysaccharidosis type IIIB (Sanfilippo B), Autosomal recessive
COASY	Neurodegeneration with brain iron accumulation 6, Autosomal recessive
PSMC3IP	Ovarian dysgenesis 3, Autosomal recessive
TUBG1	Cortical dysplasia, complex, with other brain malformations 4, Autosomal dominant
CNTNAP1	Lethal congenital contracture syndrome 7, Autosomal recessive
WNK4	Pseudohypoaldosteronism, type IIB, Autosomal dominant
G6PC	Glycogen storage disease Ia, Autosomal recessive
MEOX1	Klippel-Feil syndrome 2, Autosomal recessive
SOST	Craniodiaphyseal dysplasia, autosomal dominant, Autosomal dominant;Sclerosteosis 1, Autosomal recessive;Van Buchem disease, Autosomal recessive
NAGS	N-acetylglutamate synthase deficiency, Autosomal recessive
G6PC3	Dursun syndrome, Autosomal recessive;Neutropenia, severe congenital 4, autosomal recessive, Autosomal recessive
SLC4A1	Cryohydrocytosis, Autosomal dominant;Ovalocytosis, SA type, Autosomal dominant;Renal tubular acidosis, distal, AD, Autosomal dominant;Renal tubular acidosis, distal, AR, Autosomal recessive;Spherocytosis, type 4, Autosomal dominant
GRN	Aphasia, primary progressive, Autosomal dominant;Ceroid lipofuscinosis, neuronal, 11, Autosomal recessive;Frontotemporal lobar degeneration with ubiquitin-positive inclusions, Autosomal dominant
ITGA2B	Bleeding disorder, platelet-type, 16, autosomal dominant, Autosomal dominant;Glanzmann thrombasthenia, Autosomal recessive;Thrombocytopenia, neonatal alloimmune, BAK antigen related (3)
EFTUD2	Mandibulofacial dysostosis, Guion-Almeida type, Autosomal dominant
CCDC103	Ciliary dyskinesia, primary, 17, Autosomal recessive
GFAP	Alexander disease, Autosomal dominant
PLEKHM1	Osteopetrosis, autosomal recessive 6
MAPT	Dementia, frontotemporal, with or without parkinsonism, Autosomal dominant;Pick disease, Autosomal dominant, Isolated cases;Supranuclear palsy, progressive, Autosomal dominant;Supranuclear palsy, progressive atypical, Autosomal recessive
KANSL1	Koolen-De Vries syndrome, Autosomal dominant
GOSR2	Epilepsy, progressive myoclonic 6, Autosomal recessive
ITGB3	Bleeding disorder, platelet-type, 16, autosomal dominant, Autosomal dominant;Glanzmann thrombasthenia, Autosomal recessive;Purpura, posttransfusion (3);Thrombocytopenia, neonatal alloimmune (3)
TBX21	Asthma and nasal polyps, Autosomal recessive
PNPO	Pyridoxamine 5'-phosphate oxidase deficiency, Autosomal recessive
HOXB1	Facial paresis, hereditary congenital, 3, Autosomal recessive
DLX3	Amelogenesis imperfecta, type IV, Autosomal dominant;Trichodontoosseous syndrome, Autosomal dominant
ITGA3	Interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital, Autosomal recessive
SGCA	Muscular dystrophy, limb-girdle, type 2D, Autosomal recessive
COL1A1	Caffey disease, Autosomal dominant;Ehlers-Danlos syndrome, classic, Autosomal dominant;Ehlers-Danlos syndrome, type VIIA, Autosomal dominant;Osteogenesis imperfecta, type I, Autosomal dominant;Osteogenesis imperfecta, type II, Autosomal dominant;Osteogenesis imperfecta, type III, Autosomal dominant;Osteogenesis imperfecta, type IV, Autosomal dominant
XYLT2	Spondyloocular syndrome, Autosomal recessive
CACNA1G	Spinocerebellar ataxia 42, Autosomal dominant
NME1	Neuroblastoma, Autosomal dominant, Isolated cases
NOG	Brachydactyly, type B2, Autosomal dominant;Multiple synostoses syndrome 1, Autosomal dominant;Stapes ankylosis with broad thumb and toes, Autosomal dominant;Symphalangism, proximal, 1A, Autosomal dominant;Tarsal-carpal coalition syndrome, Autosomal dominant
DGKE	Nephrotic syndrome, type 7, Autosomal recessive
MKS1	Bardet-Biedl syndrome 13, Autosomal recessive;Joubert syndrome 28, Autosomal recessive;Meckel syndrome 1, Autosomal recessive
MPO	Myeloperoxidase deficiency, Autosomal recessive
RNF43	Sessile serrated polyposis cancer syndrome, Autosomal dominant
RAD51C	Fanconi anemia, complementation group O, Autosomal recessive
TRIM37	Mulibrey nanism, Autosomal recessive
PTRH2	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease, Autosomal recessive
CA4	Retinitis pigmentosa 17, Autosomal dominant
PPM1D	Breast cancer, Autosomal dominant
TBX4	Ischiocoxopodopatellar syndrome, Autosomal dominant
BRIP1	Breast cancer, early-onset, Autosomal dominant;Fanconi anemia, complementation group J
ACE	Renal tubular dysgenesis, Autosomal recessive
TACO1	Mitochondrial complex IV deficiency, Autosomal recessive, Mitochondrial
STRADA	Polyhydramnios, megalencephaly, and symptomatic epilepsy, Autosomal recessive
GH1	Growth hormone deficiency, isolated, type IA, Autosomal recessive;Growth hormone deficiency, isolated, type IB;Growth hormone deficiency, isolated, type II, Autosomal dominant;Kowarski syndrome, Autosomal recessive
CD79B	Agammaglobulinemia 6, Autosomal recessive
SCN4A	Hyperkalemic periodic paralysis, type 2, Autosomal dominant;Hypokalemic periodic paralysis, type 2, Autosomal dominant;Myasthenic syndrome, congenital, 16, Autosomal recessive;Myotonia congenita, atypical, acetazolamide-responsive, Autosomal dominant;Paramyotonia congenita, Autosomal dominant
POLG2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4, Autosomal dominant
CCA1	Cataract 7, Autosomal dominant
RGS9	Bradyopsia
AXIN2	Colorectal cancer, somatic;Oligodontia-colorectal cancer syndrome, Autosomal dominant
PRKCA	Pituitary tumor, invasive (3)
PRKAR1A	Acrodysostosis 1, with or without hormone resistance, Autosomal dominant;Adrenocortical tumor, somatic (3);Carney complex, type 1, Autosomal dominant;Myxoma, intracardiac, Autosomal dominant;Pigmented nodular adrenocortical disease, primary, 1, Autosomal dominant
FAM20A	Amelogenesis imperfecta, type IG (enamel-renal syndrome), Autosomal recessive
KCNJ2	Andersen syndrome, Autosomal dominant;Atrial fibrillation, familial, 9, Autosomal dominant;Short QT syndrome 3
SOX9	Acampomelic campomelic dysplasia, Autosomal dominant;Campomelic dysplasia, Autosomal dominant;Campomelic dysplasia with autosomal sex reversal, Autosomal dominant
COG1	Congenital disorder of glycosylation, type IIg
DNAI2	Ciliary dyskinesia, primary, 9, with or without situs inversus
SLC9A3R1	Nephrolithiasis/osteoporosis, hypophosphatemic, 2, Autosomal dominant
USH1G	Usher syndrome, type 1G, Autosomal recessive
SLC25A19	Microcephaly, Amish type, Autosomal recessive;Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type), Autosomal recessive
TSEN54	Pontocerebellar hypoplasia type 2A, Autosomal recessive;Pontocerebellar hypoplasia type 4, Autosomal recessive
ITGB4	Epidermolysis bullosa of hands and feet, Autosomal dominant;Epidermolysis bullosa, junctional, non-Herlitz type, Autosomal recessive;Epidermolysis bullosa, junctional, with pyloric atresia, Autosomal recessive
GALK1	Galactokinase deficiency with cataracts, Autosomal recessive
UNC13D	Hemophagocytic lymphohistiocytosis, familial, 3
ACOX1	Peroxisomal acyl-CoA oxidase deficiency, Autosomal recessive
RHBDF2	Tylosis with esophageal cancer, Autosomal dominant
PRCD	Retinitis pigmentosa 36
METTL23	Mental retardation, autosomal recessive 44, Autosomal recessive
SEPT9	Amyotrophy, hereditary neuralgic, Autosomal dominant;Leukemia, acute myeloid, therapy-related (1);Ovarian carcinoma (1)
TMC6	Epidermodysplasia verruciformis, Autosomal recessive
TMC8	Epidermodysplasia verruciformis, Autosomal recessive
CANT1	Desbuquois dysplasia 1, Autosomal recessive
CCDC40	Ciliary dyskinesia, primary, 15
GAA	Glycogen storage disease II, Autosomal recessive
EIF4A3	Robin sequence with cleft mandible and limb anomalies, Autosomal recessive
CARD14	Pityriasis rubra pilaris, Autosomal dominant;Psoriasis 2, Autosomal dominant
SGSH	Mucopolysaccharidosis type IIIA (Sanfilippo A), Autosomal recessive
ACTG1	Baraitser-Winter syndrome 2, Autosomal dominant;Deafness, autosomal dominant 20/26, Autosomal dominant
FSCN2	Retinitis pigmentosa 30
PDE6G	Retinitis pigmentosa 57, Autosomal recessive
P4HB	Cole-Carpenter syndrome 1, Autosomal dominant
ARHGDIA	Nephrotic syndrome, type 8, Autosomal recessive
PYCR1	Cutis laxa, autosomal recessive, type IIB, Autosomal recessive;Cutis laxa, autosomal recessive, type IIIB
ASPSCR1	Alveolar soft-part sarcoma
CSNK1D	Advanced sleep-phase syndrome, familial, 2, Autosomal dominant
TBCD	Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum, Autosomal recessive
ZNF750	Seborrhea-like dermatitis with psoriasiform elements
DFNB46	Deafness, autosomal recessive 46, Autosomal recessive
DYT15	Dystonia-15, myoclonic, Autosomal dominant
DYT7	Dystonia-7, torsion, Autosomal dominant
MRT19	Mental retardation, autosomal recessive 19, Autosomal recessive
SMCHD1	Bosma arhinia microphthalmia syndrome, Autosomal dominant;Fascioscapulohumeral muscular dystrophy 2, digenic
MYP2	Myopia-2, Autosomal dominant
LPIN2	Majeed syndrome
TGIF1	Holoprosencephaly 4, Autosomal dominant
LAMA1	Poretti-Boltshauser syndrome, Autosomal recessive
FEB6	Febrile seizures, familial, 6, Autosomal dominant
NDUFV2	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
APCDD1	Hypotrichosis 1
PIEZO2	Arthrogryposis, distal, type 3, Autosomal dominant;Arthrogryposis, distal, type 5, Autosomal dominant;Arthrogryposis, distal, with impaired proprioception and touch, Autosomal recessive
GNAL	Dystonia 25, Autosomal dominant
AFG3L2	Spastic ataxia 5, autosomal recessive, Autosomal recessive;Spinocerebellar ataxia 28, Autosomal dominant
MC2R	Glucocorticoid deficiency, due to ACTH unresponsiveness, Autosomal recessive
MIB1	Left ventricular noncompaction 7, Autosomal dominant
GATA6	Atrial septal defect 9, Autosomal dominant;Atrioventricular septal defect 5, Autosomal dominant;Pancreatic agenesis and congenital heart defects, Autosomal dominant;Persistent truncus arteriosus;Tetralogy of Fallot, Autosomal dominant
RBBP8	Jawad syndrome, Autosomal recessive;Pancreatic carcinoma, somatic (3);Seckel syndrome 2, Autosomal recessive
NPC1	Niemann-Pick disease, type C1, Autosomal recessive;Niemann-Pick disease, type D, Autosomal recessive
LAMA3	Epidermolysis bullosa, generalized atrophic benign, Autosomal recessive;Epidermolysis bullosa, junctional, Herlitz type, Autosomal recessive;Laryngoonychocutaneous syndrome, Autosomal recessive
SS18	Sarcoma, synovial (1)
KCTD1	Scalp-ear-nipple syndrome, Autosomal dominant
DSC2	Arrhythmogenic right ventricular dysplasia 11, Autosomal recessive, Autosomal dominant;Arrhythmogenic right ventricular dysplasia 11 with mild palmoplantar keratoderma and woolly hair, Autosomal recessive, Autosomal dominant
DSG1	Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper IgE, Autosomal recessive;Keratosis palmoplantaris striata I, AD, Autosomal dominant
DSG4	Hypotrichosis 6, Autosomal recessive
DSG2	Arrhythmogenic right ventricular dysplasia 10, Autosomal dominant;Cardiomyopathy, dilated, 1BB
TTR	Amyloidosis, hereditary, transthyretin-related, Autosomal dominant;Carpal tunnel syndrome, familial, Autosomal dominant
RNF125	Tenorio syndrome, Autosomal dominant
ASXL3	Bainbridge-Ropers syndrome
DTNA	Left ventricular noncompaction 1, with or without congenital heart defects, Autosomal dominant
MAPRE2	Symmetric circumferential skin creases, congenital, 2, Autosomal dominant
OPA4	Optic atrophy 4
ELP2	Mental retardation, autosomal recessive 58, Autosomal recessive
MOCOS	Xanthinuria, type II, Autosomal recessive
SETBP1	Mental retardation, autosomal dominant 29, Autosomal dominant;Schinzel-Giedion midface retraction syndrome, Autosomal dominant
EPG5	Vici syndrome, Autosomal recessive
ALS3	Amyotrophic lateral sclerosis 3, Autosomal dominant
CORD1	Cone-rod retinal dystrophy-1, Autosomal dominant
LOXHD1	Deafness, autosomal recessive 77, Autosomal recessive
IER3IP1	Microcephaly, epilepsy, and diabetes syndrome, Autosomal recessive
DYM	Dyggve-Melchior-Clausen disease, Autosomal recessive;Smith-McCort dysplasia, Autosomal recessive
MYO5B	Microvillus inclusion disease, Autosomal recessive
CFAP53	Heterotaxy, visceral, 6, autosomal recessive, Autosomal recessive
